TIME(PST),WVHTft,SwHft,SwPsec,SwD,WWHft,WWPsec,WWD,STEEPNESS,APDsec
2025-02-1510:40 am,11.2,10.8,12.9,WNW,2.0,3.8,WNW,SWELL,8.4
2025-02-1510:10 am,12.1,11.8,12.9,WNW,2.0,4.0,WNW,SWELL,9.1
2025-02-1509:40 am,12.8,12.5,16.0,WNW,3.0,4.5,WNW,SWELL,9.2
2025-02-1509:10 am,11.8,11.2,12.9,WNW,3.6,5.3,NW,SWELL,8.6
2025-02-1508:40 am,11.5,10.8,12.9,WNW,4.6,6.2,WNW,SWELL,8.4
2025-02-1508:10 am,12.1,11.5,16.0,WNW,3.6,5.0,NW,SWELL,8.3
2025-02-1507:40 am,12.1,11.5,13.8,WNW,4.6,6.7,WNW,SWELL,8.6
2025-02-1507:10 am,12.1,10.8,16.0,W,5.6,5.9,NW,SWELL,8.2
2025-02-1506:40 am,11.8,10.5,13.8,WNW,5.6,7.1,WNW,SWELL,8.2
2025-02-1506:10 am,11.2,10.2,12.1,WNW,4.6,5.9,WNW,SWELL,7.9
2025-02-1505:40 am,12.8,11.5,14.8,WNW,5.6,7.1,WNW,SWELL,8.4
2025-02-1505:10 am,12.1,10.8,13.8,WNW,5.2,6.7,WNW,SWELL,8.1
2025-02-1504:40 am,13.8,12.1,13.8,WNW,6.6,7.7,WNW,SWELL,8.5
2025-02-1504:10 am,13.5,12.5,13.8,WNW,5.2,5.3,WNW,SWELL,8.7
2025-02-1503:40 am,13.1,12.1,13.8,WNW,4.9,5.0,WNW,SWELL,8.6
2025-02-1503:10 am,13.8,12.1,13.8,WNW,6.2,7.7,WNW,SWELL,8.5
2025-02-1502:40 am,14.1,13.1,13.8,WNW,5.9,7.1,WNW,SWELL,8.8
2025-02-1502:10 am,14.1,11.8,13.8,WNW,7.9,7.7,WNW,SWELL,8.6
2025-02-1501:40 am,15.4,13.5,14.8,WNW,7.2,8.3,WNW,SWELL,9.0
2025-02-1501:10 am,14.8,13.5,12.9,WNW,6.2,6.2,WNW,SWELL,8.6
2025-02-1512:40 am,15.1,12.8,11.4,WNW,7.5,8.3,WNW,AVERAGE,8.7
2025-02-1512:10 am,14.8,13.1,12.9,WNW,6.6,7.7,WNW,SWELL,8.8
2025-02-1411:40 pm,15.4,13.8,13.8,WNW,6.9,7.7,WNW,SWELL,8.9
2025-02-1411:10 pm,15.4,14.1,13.8,WNW,6.6,6.7,WNW,SWELL,8.7
2025-02-1410:40 pm,15.1,13.5,13.8,WNW,6.6,7.1,WNW,SWELL,9.0
2025-02-1410:10 pm,14.8,13.1,13.8,WNW,6.2,7.1,WNW,SWELL,8.7
2025-02-1409:40 pm,13.5,11.5,13.8,WNW,6.6,7.7,WNW,SWELL,8.3
2025-02-1409:10 pm,15.1,13.5,14.8,WNW,7.2,7.1,WNW,SWELL,8.6
2025-02-1408:40 pm,14.8,13.5,13.8,NW,6.2,5.0,NW,SWELL,8.7
2025-02-1408:10 pm,14.1,11.8,13.8,NW,7.5,6.2,WNW,SWELL,8.0
2025-02-1407:40 pm,14.4,12.5,14.8,WNW,7.2,7.7,WNW,SWELL,8.3
2025-02-1407:10 pm,13.5,11.8,13.8,WNW,6.2,7.1,W,SWELL,8.0
2025-02-1406:40 pm,13.1,12.1,14.8,WNW,5.6,5.6,NW,SWELL,8.2
2025-02-1406:10 pm,13.8,12.5,14.8,W,5.9,6.7,W,SWELL,8.4
2025-02-1405:40 pm,13.8,12.8,14.8,WNW,4.9,5.3,NW,SWELL,8.6
2025-02-1405:10 pm,13.5,12.5,14.8,W,4.9,5.3,WNW,SWELL,8.5
2025-02-1404:40 pm,13.1,12.1,14.8,WNW,4.9,4.8,WNW,SWELL,8.5
2025-02-1404:10 pm,13.1,12.1,14.8,WNW,5.2,6.2,W,SWELL,8.5
2025-02-1403:40 pm,12.5,11.8,13.8,WNW,4.6,6.2,W,SWELL,8.4
2025-02-1403:10 pm,13.5,12.8,14.8,WNW,4.3,5.9,WSW,SWELL,9.3
2025-02-1402:40 pm,14.1,13.5,14.8,WNW,4.3,5.6,W,SWELL,9.1
2025-02-1402:10 pm,13.5,12.8,14.8,WNW,3.9,5.3,W,SWELL,9.1
2025-02-1401:40 pm,15.1,14.4,16.0,WNW,3.9,5.3,W,SWELL,9.9
2025-02-1401:10 pm,14.4,13.8,16.0,W,3.9,6.2,W,SWELL,9.7
2025-02-1412:40 pm,14.4,13.8,16.0,WNW,3.9,5.3,WSW,SWELL,9.8
2025-02-1412:10 pm,13.1,12.5,16.0,WNW,3.9,5.3,WSW,SWELL,9.4
